model,model_label,experiment,diagnostic,contrast,estimate,se,df,t,p,note,significant,supports_heuristic
babyllama,BabyLlama,1,local_mismatch_penalty,mismatch - match (Local),2.8314588721841574,0.16004398330566494,31,17.69175456459621,9.363887457300177e-18,Baseline: surprisal(-Local) - surprisal(+Local). Positive = local sensitivity.,True,True
qwen-2.5-7b,Qwen-2.5-7B,1,local_mismatch_penalty,mismatch - match (Local),3.7100830078125,0.2912518858884859,31,12.73839994716124,7.394481327742384e-14,Baseline: surprisal(-Local) - surprisal(+Local). Positive = local sensitivity.,True,True
llama-3.1-8b,Llama-3.1-8B,1,local_mismatch_penalty,mismatch - match (Local),4.307952880859375,0.24305312724394054,31,17.72432607516172,8.889008802494357e-18,Baseline: surprisal(-Local) - surprisal(+Local). Positive = local sensitivity.,True,True
qwen-2.5-72b,Qwen-2.5-72B,1,local_mismatch_penalty,mismatch - match (Local),4.6058349609375,0.3639875532893318,31,12.653825438026299,8.801561884804463e-14,Baseline: surprisal(-Local) - surprisal(+Local). Positive = local sensitivity.,True,True
llama-3.1-70b,Llama-3.1-70B,1,local_mismatch_penalty,mismatch - match (Local),4.264404296875,0.2617328807118167,31,16.29296359432333,9.458736116785413e-17,Baseline: surprisal(-Local) - surprisal(+Local). Positive = local sensitivity.,True,True
babyllama,BabyLlama,1,matrix_effect_at_local_match,match - mismatch (Matrix | +Local),-0.954819094389677,0.09470077941765752,31,-10.082484011864906,2.632926548545766e-11,Control: matrix match effect when the local subject already matches.,True,
qwen-2.5-7b,Qwen-2.5-7B,1,matrix_effect_at_local_match,match - mismatch (Matrix | +Local),-0.712158203125,0.22476384868632285,31,-3.168473076463812,0.0034345499147854738,Control: matrix match effect when the local subject already matches.,True,
llama-3.1-8b,Llama-3.1-8B,1,matrix_effect_at_local_match,match - mismatch (Matrix | +Local),-0.0050048828125,0.17439304182829957,31,-0.028698867569656866,0.97728872487219,Control: matrix match effect when the local subject already matches.,False,
qwen-2.5-72b,Qwen-2.5-72B,1,matrix_effect_at_local_match,match - mismatch (Matrix | +Local),-0.302001953125,0.24740723139483173,31,-1.220667445419337,0.23141579549793892,Control: matrix match effect when the local subject already matches.,False,
llama-3.1-70b,Llama-3.1-70B,1,matrix_effect_at_local_match,match - mismatch (Matrix | +Local),-0.24560546875,0.1778416355592103,31,-1.3810346940282638,0.17714362648052367,Control: matrix match effect when the local subject already matches.,False,
babyllama,BabyLlama,1,matrix_rescue,match - mismatch (Matrix | -Local),-2.4845851063728337,0.09837816081738061,31,-25.255453911005404,3.0623685381197063e-22,Critical: surprisal(+Matrix) - surprisal(-Matrix) at -Local. Negative = illicit rescue.,True,True
qwen-2.5-7b,Qwen-2.5-7B,1,matrix_rescue,match - mismatch (Matrix | -Local),-3.626953125,0.3886896043735567,31,-9.331232644735863,1.6298712553411058e-10,Critical: surprisal(+Matrix) - surprisal(-Matrix) at -Local. Negative = illicit rescue.,True,True
llama-3.1-8b,Llama-3.1-8B,1,matrix_rescue,match - mismatch (Matrix | -Local),-2.0692138671875,0.24813914599412243,31,-8.338925560888779,2.028281945668816e-09,Critical: surprisal(+Matrix) - surprisal(-Matrix) at -Local. Negative = illicit rescue.,True,True
qwen-2.5-72b,Qwen-2.5-72B,1,matrix_rescue,match - mismatch (Matrix | -Local),-2.9794921875,0.29182019272939946,31,-10.210027481761136,1.946257458208744e-11,Critical: surprisal(+Matrix) - surprisal(-Matrix) at -Local. Negative = illicit rescue.,True,True
llama-3.1-70b,Llama-3.1-70B,1,matrix_rescue,match - mismatch (Matrix | -Local),-1.4482421875,0.2882153336726888,31,-5.024861686036085,2.0000729287344447e-05,Critical: surprisal(+Matrix) - surprisal(-Matrix) at -Local. Negative = illicit rescue.,True,True
