model,model_label,experiment,condition,n_items,mean,sd,se,ci95_lo,ci95_hi
babyllama,BabyLlama,1,+Local+Matrix,32,5.899125847965479,1.6020609438001419,0.28320703930880015,5.34404005092023,6.454211645010727
babyllama,BabyLlama,1,+Local-Matrix,32,6.853944942355156,1.8115005750749409,0.3202310851897053,6.226292015383334,7.481597869326978
babyllama,BabyLlama,1,-Local+Matrix,32,7.965701714158058,1.5473973475878124,0.2735437894173548,7.429555886900043,8.501847541416074
babyllama,BabyLlama,1,-Local-Matrix,32,10.450286820530891,1.642643919444016,0.29038116362842814,9.881139739819172,11.01943390124261
qwen-2.5-7b,Qwen-2.5-7B,1,+Local+Matrix,32,6.508056640625,2.7274837444889486,0.48215556282605304,5.563031737485936,7.453081543764064
qwen-2.5-7b,Qwen-2.5-7B,1,+Local-Matrix,32,7.22021484375,3.3185318621333635,0.5866390958245306,6.07040221593392,8.370027471566079
qwen-2.5-7b,Qwen-2.5-7B,1,-Local+Matrix,32,8.7607421875,1.8239973455214389,0.3224402229711179,8.128759350476608,9.392725024523392
qwen-2.5-7b,Qwen-2.5-7B,1,-Local-Matrix,32,12.3876953125,2.8270218662036286,0.49975158303880857,11.408182209743936,13.367208415256064
llama-3.1-8b,Llama-3.1-8B,1,+Local+Matrix,32,5.446929931640625,2.414696975921159,0.4268621515461252,4.6102801146102195,6.2835797486710305
llama-3.1-8b,Llama-3.1-8B,1,+Local-Matrix,32,5.451934814453125,2.657870524542898,0.4698495678550323,4.531029661457262,6.372839967448988
llama-3.1-8b,Llama-3.1-8B,1,-Local+Matrix,32,8.7227783203125,1.3796702912920367,0.2438935546935546,8.244746953113133,9.200809687511867
llama-3.1-8b,Llama-3.1-8B,1,-Local-Matrix,32,10.7919921875,2.0020276527728678,0.3539118323496704,10.098324996094647,11.485659378905353
qwen-2.5-72b,Qwen-2.5-72B,1,+Local+Matrix,32,6.67138671875,3.474860514375259,0.61427435834803,5.467408976387861,7.875364461112139
qwen-2.5-72b,Qwen-2.5-72B,1,+Local-Matrix,32,6.973388671875,3.3892199566790597,0.599135103575135,5.7990838688677355,8.147693474882264
qwen-2.5-72b,Qwen-2.5-72B,1,-Local+Matrix,32,9.9384765625,2.3172015792129863,0.4096272375094198,9.135607176981537,10.741345948018463
qwen-2.5-72b,Qwen-2.5-72B,1,-Local-Matrix,32,12.91796875,2.3837612964277217,0.42139344435851944,12.092037599057303,13.743899900942697
llama-3.1-70b,Llama-3.1-70B,1,+Local+Matrix,32,5.490234375,1.9638987127603744,0.3471715243390981,4.809778187295368,6.170690562704632
llama-3.1-70b,Llama-3.1-70B,1,+Local-Matrix,32,5.73583984375,2.188958900661374,0.3869569205990769,4.9774042793758095,6.4942754081241905
llama-3.1-70b,Llama-3.1-70B,1,-Local+Matrix,32,9.1533203125,1.4888987598470536,0.2632026023970231,8.637443211801834,9.669197413198166
llama-3.1-70b,Llama-3.1-70B,1,-Local-Matrix,32,10.6015625,1.387293830948259,0.24524121884044445,10.12088971107273,11.08223528892727
babyllama,BabyLlama,2,+Head+Distractor,32,6.333324193954468,1.9160956885495857,0.33872106369392974,5.669430909114365,6.99721747879457
babyllama,BabyLlama,2,+Head-Distractor,32,6.72784985601902,1.9510727105060242,0.3449041860467068,6.0518376513674745,7.403862060670566
babyllama,BabyLlama,2,-Head+Distractor,32,9.347291961312294,1.80212076041865,0.31857295255227125,8.722888974309843,9.971694948314745
babyllama,BabyLlama,2,-Head-Distractor,32,10.8507811576128,1.4062568113567189,0.24859343185002686,10.363538031186748,11.338024284038854
qwen-2.5-7b,Qwen-2.5-7B,2,+Head+Distractor,32,7.09619140625,2.8776671462525587,0.5087044882782311,6.099130609224667,8.093252203275332
qwen-2.5-7b,Qwen-2.5-7B,2,+Head-Distractor,32,8.14794921875,3.1636072436693135,0.5592520337523634,7.051815232595368,9.244083204904632
qwen-2.5-7b,Qwen-2.5-7B,2,-Head+Distractor,32,10.169921875,2.9814608777365814,0.5270528011224832,9.136898384799933,11.202945365200067
qwen-2.5-7b,Qwen-2.5-7B,2,-Head-Distractor,32,12.80859375,2.427784478655053,0.42917571702910867,11.967409344622947,13.649778155377053
llama-3.1-8b,Llama-3.1-8B,2,+Head+Distractor,32,8.14801025390625,2.6090994717617177,0.46122798231823736,7.244003408562505,9.052017099249996
llama-3.1-8b,Llama-3.1-8B,2,+Head-Distractor,32,9.1787109375,3.0168187798961337,0.5333032542188706,8.133436559231013,10.223985315768987
llama-3.1-8b,Llama-3.1-8B,2,-Head+Distractor,32,10.308837890625,1.9350593270481167,0.3420733930385001,9.63837404026954,10.97930174098046
llama-3.1-8b,Llama-3.1-8B,2,-Head-Distractor,32,13.94287109375,2.5766074449041434,0.4554841491868658,13.050122161343744,14.835620026156256
qwen-2.5-72b,Qwen-2.5-72B,2,+Head+Distractor,32,6.9873046875,3.058898777301352,0.5407420170982562,5.927450333987418,8.047159041012582
qwen-2.5-72b,Qwen-2.5-72B,2,+Head-Distractor,32,8.00634765625,3.0751412163899556,0.5436133018038964,6.940865584714363,9.071829727785637
qwen-2.5-72b,Qwen-2.5-72B,2,-Head+Distractor,32,9.458984375,2.702304001977354,0.4777043711564331,8.522683807533392,10.395284942466608
qwen-2.5-72b,Qwen-2.5-72B,2,-Head-Distractor,32,12.21875,3.108342702283439,0.5494825507590844,11.141764200512196,13.295735799487804
llama-3.1-70b,Llama-3.1-70B,2,+Head+Distractor,32,6.8291015625,2.174963853851828,0.38448292247356364,6.075515034451815,7.582688090548185
llama-3.1-70b,Llama-3.1-70B,2,+Head-Distractor,32,7.34765625,2.3445697491155477,0.41446529214111155,6.535304277403421,8.160008222596579
llama-3.1-70b,Llama-3.1-70B,2,-Head+Distractor,32,9.4921875,1.815209320996413,0.320886705037398,8.8632495581267,10.1211254418733
llama-3.1-70b,Llama-3.1-70B,2,-Head-Distractor,32,12.427734375,2.1929430768849567,0.3876612301053613,11.667918363993492,13.187550386006508
babyllama,BabyLlama,3,+Local+Coarg,32,6.047746106982231,1.4949694745384003,0.26427576327824814,5.529765610956865,6.565726603007597
babyllama,BabyLlama,3,+Local+Picture,32,5.329812407493591,0.4685262177632932,0.08282451643602741,5.1674763552789775,5.492148459708205
babyllama,BabyLlama,3,-Local+Coarg,32,7.9707198441028595,1.362804371617036,0.24091205315026945,7.4985322199283315,8.442907468277388
babyllama,BabyLlama,3,-Local+Picture,32,7.244321420788765,0.6578975546265875,0.11630095555062676,7.016371547909537,7.472271293667993
qwen-2.5-7b,Qwen-2.5-7B,3,+Local+Coarg,32,5.931884765625,2.8830465679784645,0.5096554446735437,4.932960094064854,6.930809437185146
qwen-2.5-7b,Qwen-2.5-7B,3,+Local+Picture,32,3.92626953125,0.950905784818976,0.16809798217875346,3.5967974861796432,4.255741576320357
qwen-2.5-7b,Qwen-2.5-7B,3,-Local+Coarg,32,8.4814453125,2.0100688358201526,0.3553333261150447,7.784991993314512,9.177898631685487
qwen-2.5-7b,Qwen-2.5-7B,3,-Local+Picture,32,6.3486328125,1.0991402138100557,0.19430237466498052,5.9678001581566384,6.7294654668433616
llama-3.1-8b,Llama-3.1-8B,3,+Local+Coarg,32,5.239654541015625,2.588819849190468,0.4576430176582288,4.342674226405497,6.136634855625753
llama-3.1-8b,Llama-3.1-8B,3,+Local+Picture,32,4.954345703125,0.7196077041702502,0.12720987185321672,4.705014354292695,5.203677051957305
llama-3.1-8b,Llama-3.1-8B,3,-Local+Coarg,32,8.481201171875,1.4312550064388398,0.25301253016502484,7.985296612751552,8.97710573099845
llama-3.1-8b,Llama-3.1-8B,3,-Local+Picture,32,6.94482421875,0.8982686059255922,0.1587929556442432,6.633590025687283,7.256058411812717
qwen-2.5-72b,Qwen-2.5-72B,3,+Local+Coarg,32,7.095703125,3.5855309019081547,0.6338383037232934,5.853380049702345,8.338026200297655
qwen-2.5-72b,Qwen-2.5-72B,3,+Local+Picture,32,4.79931640625,0.9176159936920293,0.1622131229162165,4.4813786853342155,5.1172541271657845
qwen-2.5-72b,Qwen-2.5-72B,3,-Local+Coarg,32,10.7138671875,2.3019198543967656,0.40692578469797575,9.916292649491968,11.511441725508032
qwen-2.5-72b,Qwen-2.5-72B,3,-Local+Picture,32,6.75830078125,1.5870748115698678,0.2805578403778539,6.2084074141094066,7.3081941483905934
llama-3.1-70b,Llama-3.1-70B,3,+Local+Coarg,32,5.52197265625,2.0447283104714726,0.36146031350462265,4.81351044178094,6.23043487071906
llama-3.1-70b,Llama-3.1-70B,3,+Local+Picture,32,5.142578125,0.4289881588969445,0.0758351090511904,4.9939413112596664,5.2912149387403336
llama-3.1-70b,Llama-3.1-70B,3,-Local+Coarg,32,9.203125,1.4301618451160716,0.25281928471895976,8.707599201950838,9.698650798049162
llama-3.1-70b,Llama-3.1-70B,3,-Local+Picture,32,7.2900390625,0.7765882843207551,0.13728271050830812,7.020964949903716,7.559113175096284
