model,model_label,experiment,formula,term,estimate,se,df,t,p,significant
babyllama,BabyLlama,1,surprisal ~ local_c * matrix_c + (1 | item_id),Intercept,7.792264831252396,0.2770217831184191,31,28.128707943235714,1.2426413587183678e-23,True
babyllama,BabyLlama,1,surprisal ~ local_c * matrix_c + (1 | item_id),local_c,-2.8314588721841574,0.16004398330566494,31,-17.69175456459621,9.363887457300177e-18,True
babyllama,BabyLlama,1,surprisal ~ local_c * matrix_c + (1 | item_id),local_c:matrix_c,1.5297660119831562,0.09533052207433208,31,16.046969833967253,1.4440890726709312e-16,True
babyllama,BabyLlama,1,surprisal ~ local_c * matrix_c + (1 | item_id),matrix_c,-1.7197021003812551,0.08397185816879328,31,-20.47950513283215,1.420542677562614e-19,True
qwen-2.5-7b,Qwen-2.5-7B,1,surprisal ~ local_c * matrix_c + (1 | item_id),Intercept,8.71917724609375,0.43148345811502736,31,20.207442677372214,2.0909150680113008e-19,True
qwen-2.5-7b,Qwen-2.5-7B,1,surprisal ~ local_c * matrix_c + (1 | item_id),local_c,-3.7100830078125,0.2912518858884859,31,-12.73839994716124,7.394481327742384e-14,True
qwen-2.5-7b,Qwen-2.5-7B,1,surprisal ~ local_c * matrix_c + (1 | item_id),local_c:matrix_c,2.914794921875,0.367247040580969,31,7.936877904486091,5.8404322784995205e-09,True
qwen-2.5-7b,Qwen-2.5-7B,1,surprisal ~ local_c * matrix_c + (1 | item_id),matrix_c,-2.1695556640625,0.2590011600520549,31,-8.376625276992796,1.8387130926361256e-09,True
llama-3.1-8b,Llama-3.1-8B,1,surprisal ~ local_c * matrix_c + (1 | item_id),Intercept,7.6034088134765625,0.34736139569072655,31,21.889043825256454,2.053871410743272e-20,True
llama-3.1-8b,Llama-3.1-8B,1,surprisal ~ local_c * matrix_c + (1 | item_id),local_c,-4.307952880859375,0.24305312724394054,31,-17.72432607516172,8.889008802494357e-18,True
llama-3.1-8b,Llama-3.1-8B,1,surprisal ~ local_c * matrix_c + (1 | item_id),local_c:matrix_c,2.064208984375,0.21095798078530226,31,9.784929570765101,5.3725902224743096e-11,True
llama-3.1-8b,Llama-3.1-8B,1,surprisal ~ local_c * matrix_c + (1 | item_id),matrix_c,-1.037109375,0.18672752071442691,31,-5.554132411933593,4.3845900133355474e-06,True
qwen-2.5-72b,Qwen-2.5-72B,1,surprisal ~ local_c * matrix_c + (1 | item_id),Intercept,9.12530517578125,0.4679719937808012,31,19.499682239650344,5.839517617139458e-19,True
qwen-2.5-72b,Qwen-2.5-72B,1,surprisal ~ local_c * matrix_c + (1 | item_id),local_c,-4.6058349609375,0.3639875532893318,31,-12.653825438026299,8.801561884804463e-14,True
qwen-2.5-72b,Qwen-2.5-72B,1,surprisal ~ local_c * matrix_c + (1 | item_id),local_c:matrix_c,2.677490234375,0.2616299261300762,31,10.23388369205064,1.839731464033546e-11,True
qwen-2.5-72b,Qwen-2.5-72B,1,surprisal ~ local_c * matrix_c + (1 | item_id),matrix_c,-1.6407470703125,0.23679553828953906,31,-6.928961086700439,9.011214379886123e-08,True
llama-3.1-70b,Llama-3.1-70B,1,surprisal ~ local_c * matrix_c + (1 | item_id),Intercept,7.7452392578125,0.26164414155558796,31,29.60218872765005,2.6970353338767628e-24,True
llama-3.1-70b,Llama-3.1-70B,1,surprisal ~ local_c * matrix_c + (1 | item_id),local_c,-4.264404296875,0.2617328807118167,31,-16.29296359432333,9.458736116785413e-17,True
llama-3.1-70b,Llama-3.1-70B,1,surprisal ~ local_c * matrix_c + (1 | item_id),local_c:matrix_c,1.20263671875,0.26381533057548734,31,4.558630903392027,7.578270996376977e-05,True
llama-3.1-70b,Llama-3.1-70B,1,surprisal ~ local_c * matrix_c + (1 | item_id),matrix_c,-0.846923828125,0.19987053507096472,31,-4.237362089536092,0.0001880797098421434,True
babyllama,BabyLlama,2,surprisal ~ head_c * distractor_c + (1 | item_id),Intercept,8.314811792224646,0.30566130184501916,31,27.202697044196135,3.372861542229379e-23,True
babyllama,BabyLlama,2,surprisal ~ head_c * distractor_c + (1 | item_id),distractor_c,-0.9490074291825294,0.06560607272992976,31,-14.465237586909975,2.493702040563198e-15,True
babyllama,BabyLlama,2,surprisal ~ head_c * distractor_c + (1 | item_id),head_c,-3.5684495344758034,0.12873719994817834,31,-27.718868640239506,1.9258424076054974e-23,True
babyllama,BabyLlama,2,surprisal ~ head_c * distractor_c + (1 | item_id),head_c:distractor_c,1.1089635342359543,0.09768373022001746,31,11.352592000102636,1.4245849997169453e-12,True
qwen-2.5-7b,Qwen-2.5-7B,2,surprisal ~ head_c * distractor_c + (1 | item_id),Intercept,9.5556640625,0.41315131948927036,31,23.128726962103197,4.096561226410139e-21,True
qwen-2.5-7b,Qwen-2.5-7B,2,surprisal ~ head_c * distractor_c + (1 | item_id),distractor_c,-1.84521484375,0.26675238045734756,31,-6.917332248680874,9.306274899236596e-08,True
qwen-2.5-7b,Qwen-2.5-7B,2,surprisal ~ head_c * distractor_c + (1 | item_id),head_c,-3.8671875,0.47615383141969486,31,-8.121718748895997,3.5824450120234456e-09,True
qwen-2.5-7b,Qwen-2.5-7B,2,surprisal ~ head_c * distractor_c + (1 | item_id),head_c:distractor_c,1.5869140625,0.45984427829803354,31,3.4509814243496835,0.001633769917065307,True
llama-3.1-8b,Llama-3.1-8B,2,surprisal ~ head_c * distractor_c + (1 | item_id),Intercept,10.394607543945312,0.3990752938892153,31,26.046732792310845,1.227006206194065e-22,True
llama-3.1-8b,Llama-3.1-8B,2,surprisal ~ head_c * distractor_c + (1 | item_id),distractor_c,-2.332366943359375,0.2733980795905669,31,-8.531028992055324,1.2325604859157881e-09,True
llama-3.1-8b,Llama-3.1-8B,2,surprisal ~ head_c * distractor_c + (1 | item_id),head_c,-3.462493896484375,0.30293720245600275,31,-11.429741439522445,1.201055880082446e-12,True
llama-3.1-8b,Llama-3.1-8B,2,surprisal ~ head_c * distractor_c + (1 | item_id),head_c:distractor_c,2.60333251953125,0.26878846472578877,31,9.685432454056778,6.837184668032979e-11,True
qwen-2.5-72b,Qwen-2.5-72B,2,surprisal ~ head_c * distractor_c + (1 | item_id),Intercept,9.1678466796875,0.470203549156109,31,19.497612674641353,5.857353778054657e-19,True
qwen-2.5-72b,Qwen-2.5-72B,2,surprisal ~ head_c * distractor_c + (1 | item_id),distractor_c,-1.889404296875,0.30457259883700394,31,-6.203461191484727,6.88656937192823e-07,True
qwen-2.5-72b,Qwen-2.5-72B,2,surprisal ~ head_c * distractor_c + (1 | item_id),head_c,-3.342041015625,0.3536238177605349,31,-9.450836871763387,1.213267572542245e-10,True
qwen-2.5-72b,Qwen-2.5-72B,2,surprisal ~ head_c * distractor_c + (1 | item_id),head_c:distractor_c,1.74072265625,0.25195323183821033,31,6.908911799027013,9.526021677346493e-08,True
llama-3.1-70b,Llama-3.1-70B,2,surprisal ~ head_c * distractor_c + (1 | item_id),Intercept,9.024169921875,0.3249597395530654,31,27.770116797503672,1.8225774443403013e-23,True
llama-3.1-70b,Llama-3.1-70B,2,surprisal ~ head_c * distractor_c + (1 | item_id),distractor_c,-1.72705078125,0.24925834101351846,31,-6.92875822822047,9.016279445435294e-08,True
llama-3.1-70b,Llama-3.1-70B,2,surprisal ~ head_c * distractor_c + (1 | item_id),head_c,-3.87158203125,0.27712313427633495,31,-13.970620104886045,6.379972419688549e-15,True
llama-3.1-70b,Llama-3.1-70B,2,surprisal ~ head_c * distractor_c + (1 | item_id),head_c:distractor_c,2.4169921875,0.2148098826632876,31,11.251773696504513,1.7825073249225541e-12,True
babyllama,BabyLlama,3,surprisal ~ local_c * context_c + (1 | item_id),Intercept,6.648149944841862,0.13165281247212188,31,50.49759150606555,2.4467865469139155e-31,True
babyllama,BabyLlama,3,surprisal ~ local_c * context_c + (1 | item_id),context_c,-0.7221660614013672,0.25231519059500457,31,-2.8621584760646783,0.007475462294415238,True
babyllama,BabyLlama,3,surprisal ~ local_c * context_c + (1 | item_id),local_c,-1.918741375207901,0.1173630872128953,31,-16.348763659627714,8.599187470885268e-17,True
babyllama,BabyLlama,3,surprisal ~ local_c * context_c + (1 | item_id),local_c:context_c,0.008464723825454878,0.07743919993945195,31,0.10930799688107916,0.9136627273705945,False
qwen-2.5-7b,Qwen-2.5-7B,3,surprisal ~ local_c * context_c + (1 | item_id),Intercept,6.17205810546875,0.21358816876446876,31,28.89700371126313,5.552367646576865e-24,True
